init_time,test_name
0.052946,rust-spin-prime-numbers
0.082267,rust-spin-prime-numbers
0.055112,rust-spin-prime-numbers
0.060535,rust-spin-prime-numbers
0.057404,rust-spin-prime-numbers
0.084813,rust-spin-prime-numbers
0.114955,rust-spin-prime-numbers
0.079391,rust-spin-prime-numbers
0.053181,rust-spin-prime-numbers
0.057267,rust-spin-prime-numbers
0.051090,rust-spin-prime-numbers
0.070625,rust-spin-prime-numbers
0.055124,rust-spin-prime-numbers
0.071717,rust-spin-prime-numbers
0.074581,rust-spin-prime-numbers
0.071958,rust-spin-prime-numbers
0.078338,rust-spin-prime-numbers
0.080513,rust-spin-prime-numbers
0.064294,rust-spin-prime-numbers
0.092519,rust-spin-prime-numbers
0.080492,rust-spin-prime-numbers
0.051378,rust-spin-prime-numbers
0.056221,rust-spin-prime-numbers
0.069750,rust-spin-prime-numbers
0.074202,rust-spin-prime-numbers
0.068967,rust-spin-prime-numbers
0.086988,rust-spin-prime-numbers
0.050648,rust-spin-prime-numbers
0.051532,rust-spin-prime-numbers
0.124280,rust-spin-prime-numbers
0.087991,rust-spin-prime-numbers
0.066269,rust-spin-prime-numbers
0.079621,rust-spin-prime-numbers
0.055496,rust-spin-prime-numbers
0.090010,rust-spin-prime-numbers
0.090973,rust-spin-prime-numbers
0.071530,rust-spin-prime-numbers
0.068106,rust-spin-prime-numbers
0.072900,rust-spin-prime-numbers
0.075092,rust-spin-prime-numbers
0.089654,rust-spin-prime-numbers
0.073757,rust-spin-prime-numbers
0.075822,rust-spin-prime-numbers
0.076676,rust-spin-prime-numbers
0.085286,rust-spin-prime-numbers
0.054799,rust-spin-prime-numbers
0.071690,rust-spin-prime-numbers
0.057841,rust-spin-prime-numbers
0.073823,rust-spin-prime-numbers
0.073597,rust-spin-prime-numbers
0.081270,rust-spin-prime-numbers
0.058278,rust-spin-prime-numbers
0.058228,rust-spin-prime-numbers
0.079699,rust-spin-prime-numbers
0.052275,rust-spin-prime-numbers
0.089497,rust-spin-prime-numbers
0.090433,rust-spin-prime-numbers
0.067607,rust-spin-prime-numbers
0.106415,rust-spin-prime-numbers
0.069739,rust-spin-prime-numbers
0.079275,rust-spin-prime-numbers
0.052872,rust-spin-prime-numbers
0.073219,rust-spin-prime-numbers
0.094725,rust-spin-prime-numbers
0.085566,rust-spin-prime-numbers
0.051204,rust-spin-prime-numbers
0.086610,rust-spin-prime-numbers
0.051323,rust-spin-prime-numbers
0.077608,rust-spin-prime-numbers
0.087511,rust-spin-prime-numbers
0.086616,rust-spin-prime-numbers
